번호,식당(ID),식당명,지역명,식당이미지(URL),식당상태
10337,34730,홍춘천치즈닭갈비 송천1점,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-11/restaurant/34730_1285148356.jpg,운영중
10338,34730,홍춘천치즈닭갈비 송천1점,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-11/restaurant/34730_394501689.jpg,운영중
10384,40098,깐깐한족발신시가지점,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-11/restaurant/40098_2144180871.jpg,운영중
10385,40098,깐깐한족발신시가지점,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-11/restaurant/40098_643934991.jpg,운영중
10395,41506,신본참치,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-11/restaurant/41506_71086476.jpg,운영중
10396,41506,신본참치,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-11/restaurant/41506_1014136043.jpg,운영중
10405,43032,뫔컬러카페,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/43032_652173713.jpg,미확인
10406,43032,뫔컬러카페,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/43032_366576413.jpg,미확인
10429,46473,닭갈비제작소 전주효자점,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/46473_1061927928.jpg,미확인
10430,46473,닭갈비제작소 전주효자점,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/46473_1015104633.jpg,미확인
10453,48928,BBQ 전주신도시점,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/48928_1503337797.jpg,미확인
10454,48928,BBQ 전주신도시점,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/48928_1924610442.jpg,미확인
10456,48967,루시가토효자몰점,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-11/restaurant/48967_1912569419.jpg,미확인
10457,48967,루시가토효자몰점,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-11/restaurant/48967_2058502294.jpg,미확인
10463,49554,caffe THERA 카페 테라,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/49554_1952876634.jpg,미확인
10464,49554,caffe THERA 카페 테라,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/49554_338563979.jpg,미확인
